"Source:","/home/marc/proj/bloodnok-marine/GracefulPSU/kicad/PSU.kicad_sch"
"Date:","Thu 03 Nov 2022 01:19:00 PM"
"Tool:","Eeschema 6.0.8"
"Generator:","/app/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","66"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7","Field8","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive"
"","","C1","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","16uF","Y","","C"
"","","C2","0.1μF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","","","","","","",""
"","","C3","0.1μF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","","","","","","",""
"","","C4","1.6F","Device:C_Polarized","my_extras:SuperCapacitor Module","~","","","","","","","","","",""
"","","C5","27μF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","","",""
"","","C6","1μF","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C7","1μF","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C8","1μF","Device:C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"","","C9","1μF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","","",""
"","","C10","0.1μF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","","","","","","",""
"","","C11","1000μF","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~","","","","","","","","","",""
"","","D1","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","","","","",""
"","","D2","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","","","","",""
"","","D3","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","spice/my_spice.lib","D1N4148_1","Y","2 1","D"
"","","D4","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","","","","",""
"","","D5","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","","","","",""
"","","D6","SS54","Device:D_Schottky","my_extras:DO-214AC","~","","","","","","","","","",""
"","","D7","SS54","Device:D_Schottky","my_extras:DO-214AC","~","","","","","","","","","",""
"","","D8","6.8V","Device:D_Zener","","~","","","","","","","","","",""
"","","D9","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","spice/my_spice.lib","D1N4148_1","Y","2 1","D"
"","","D10","6.8V","Device:D_Zener","","~","","","","","","","","","",""
"","","D11","D","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~","","","","","","","","","",""
"","","D12","SS54","Device:D_Schottky","my_extras:DO-214AC","~","","","","","","","","","",""
"","","J1","+12V in1","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"","","J2","+12V in2","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"","","J3","0v","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"","","J4","Conn_02x20_Odd_Even","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J5","LED-","Connector:Conn_01x01_Female","my_extras:SolderConnector","~","","","","","","","","","",""
"","","J6","LED+","Connector:Conn_01x01_Female","my_extras:SolderConnector","~","","","","","","","","","",""
"","","J7","Sw","Connector:Conn_01x01_Female","my_extras:SolderConnector","~","","","","","","","","","",""
"","","J8","Sw","Connector:Conn_01x01_Female","my_extras:SolderConnector","~","","","","","","","","","",""
"","","J9","+5V","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"","","J10","0V","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"","","J11","+5Vu","Connector:Conn_01x01_Female","my_extras:SolderConnector - HighCurrent","~","","","","","","","","","",""
"","","L1","6.8μH","Device:L","Inductor_SMD:L_Bourns-SRU1028_10.0x10.0mm","~","","","","","","","","","",""
"","","Q1","CSD19505","csd19502q5b:CSD19505KCS","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/gpn/csd19505kcs","","","","","","","","","",""
"","","Q2","IRF7319","IRF7319:IRF7319","my_extras:SOIC127P600X175-8N","None","SOIC-8 International Rectifier","Infineon Technologies","30V Dual N- and P- Channel HEXFET Power MOSFET in a SO-8 package","Unavailable","IRF7319","","","","",""
"","","Q3","CSD19505KCS","csd19502q5b:CSD19505KCS","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/gpn/csd19505kcs","","","","","","","","","",""
"","","R1","100K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R2","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"","","R3","2M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","1Meg","Y","","R"
